Provider,Claims_InscClaimAmtReimbursed_count,Claims_InscClaimAmtReimbursed_sum,Claims_InscClaimAmtReimbursed_mean,Claims_InscClaimAmtReimbursed_std,Claims_InscClaimAmtReimbursed_max,Claims_InscClaimAmtReimbursed_min,Claims_DeductibleAmtPaid_sum,Claims_DeductibleAmtPaid_mean,Claims_DeductibleAmtPaid_std,Claims_ClaimDuration_mean,Claims_ClaimDuration_std,Claims_ClaimDuration_max,Claims_ReimbursementPerDay_mean,Claims_ReimbursementPerDay_std,Claims_ClaimType_<lambda>,Claims_IsWeekendClaim_mean,Claims_IsHighCostClaim_mean,Beneficiary_Age_mean,Beneficiary_Age_std,Beneficiary_Age_min,Beneficiary_Age_max,Beneficiary_TotalChronicConditions_mean,Beneficiary_TotalChronicConditions_sum,Beneficiary_TotalChronicConditions_std,Beneficiary_TotalAnnualReimbursement_mean,Beneficiary_TotalAnnualReimbursement_sum,Beneficiary_TotalAnnualDeductible_mean,Beneficiary_TotalAnnualDeductible_sum,Beneficiary_IsDeceased_mean,Beneficiary_Gender_<lambda>,Beneficiary_Race_nunique,UniquePhysicians_Count,UniqueBeneficiaries_Count,TotalClaims_Count,ClaimTimeSpan_Days,PotentialFraud,Avg_Reimbursement_per_Beneficiary,Claims_per_Beneficiary,Reimbursement_per_Claim
PRV51001,25,104640,4185.6,10796.09114448373,42000,10,5340.0,213.6,436.0091742154057,2.44,3.3674916480965478,15,985.6,1737.0355014602706,0.2,0.32,0.52,78.125,12.213009813131738,57,98,16.458333333333332,395,2.021174145771767,20585.416666666668,494050,1364.9166666666667,32758,0.0,0.375,2,14,24,25,358,0,4360.0,1.0416666666666667,4185.6
PRV51003,132,605670,4588.409090909091,7309.79472874617,57000,0,66286.0,502.1666666666667,534.5824391278848,4.674242424242424,5.51541381022619,28,1181.826449013949,2673.844257331223,0.4696969696969697,0.22727272727272727,0.5909090909090909,68.95726495726495,13.319931372398262,38,97,17.632478632478634,2063,2.195600187358606,9304.615384615385,1088640,1487.162393162393,173998,0.008547008547008548,0.4188034188034188,3,44,117,132,356,1,5176.666666666667,1.1282051282051282,4588.409090909091
PRV51004,149,52170,350.13422818791946,689.9637540197714,3300,0,310.0,2.0805369127516777,11.166744050203258,2.4295302013422817,4.783495037919234,21,248.62926946720864,550.4117056906783,0.0,0.26174496644295303,0.2483221476510067,72.48550724637681,12.921003953698024,26,100,17.681159420289855,2440,2.4820097438487725,6691.884057971014,923480,1055.0144927536232,145592,0.007246376811594203,0.32608695652173914,3,38,138,149,358,0,378.04347826086956,1.0797101449275361,350.13422818791946
PRV51005,1165,280910,241.1244635193133,491.556391867259,4080,0,3700.0,3.1759656652360513,17.026584404796676,2.088412017167382,4.1074374711292805,21,193.73858636218586,415.2821202620129,0.0,0.30300429184549355,0.17854077253218884,69.98787878787878,13.61827238152265,28,100,18.115151515151513,8967,2.321539854236936,5516.040404040404,2730440,874.6646464646465,432959,0.006060606060606061,0.4202020202020202,3,6,495,1165,376,1,567.4949494949495,2.3535353535353534,241.1244635193133
PRV51007,72,33710,468.19444444444446,1433.7691157058027,10000,0,3264.0,45.333333333333336,214.8207244703635,1.9583333333333333,3.4455012513768497,21,235.55555555555554,485.5038289597639,0.041666666666666664,0.25,0.20833333333333334,67.98275862068965,14.500443283375793,26,99,18.120689655172413,1051,2.362555754150588,4606.896551724138,267200,854.2068965517242,49544,0.017241379310344827,0.46551724137931033,2,10,58,72,356,0,581.2068965517242,1.2413793103448276,468.19444444444446
PRV51008,43,35630,828.6046511627907,3224.7654631552355,21000,0,2316.0,53.86046511627907,227.45523697719065,2.5348837209302326,4.415065319094559,21,300.8139534883721,814.2470970417511,0.046511627906976744,0.27906976744186046,0.27906976744186046,74.66666666666667,12.594783500662944,29,99,17.916666666666668,645,2.182724378909466,9859.722222222223,354950,1290.7222222222222,46466,0.0,0.4444444444444444,2,10,36,43,355,0,989.7222222222222,1.1944444444444444,828.6046511627907
PRV51011,58,16630,286.7241379310345,701.0478070917784,5000,0,1368.0,23.586206896551722,140.92165728028857,1.5517241379310345,2.4073893102251005,18,189.9808429118774,308.70880437564256,0.017241379310344827,0.1896551724137931,0.20689655172413793,73.16981132075472,13.494636896327204,37,100,17.471698113207548,926,2.275317167957923,5208.490566037736,276050,954.566037735849,50592,0.018867924528301886,0.4528301886792453,2,28,53,58,359,0,313.77358490566036,1.0943396226415094,286.7241379310345
PRV51012,48,16890,351.875,707.8936578689371,3300,0,100.0,2.0833333333333335,14.433756729740638,4.708333333333333,7.237486143251597,21,125.93653048340548,266.48842467082795,0.0,0.22916666666666666,0.25,75.54838709677419,11.292589634143326,42,97,17.612903225806452,546,2.458690970887269,7225.806451612903,224000,1068.4516129032259,33122,0.0,0.25806451612903225,2,14,31,48,352,0,544.8387096774194,1.5483870967741935,351.875
PRV51013,46,14880,323.4782608695652,471.622341339171,1800,0,230.0,5.0,19.748417658131498,2.4565217391304346,4.415661630248658,21,229.54025088296186,339.50246785442084,0.0,0.32608695652173914,0.2826086956521739,74.0909090909091,13.063028214433219,28,100,17.613636363636363,775,1.9673605159139405,7061.136363636364,310690,1562.7727272727273,68762,0.0,0.2727272727272727,2,9,44,46,343,0,338.1818181818182,1.0454545454545454,323.4782608695652
PRV51014,30,10480,349.3333333333333,822.984196996362,3300,0,120.0,4.0,14.52702594334507,1.4666666666666666,1.6760654528683694,10,343.24444444444447,825.1985059376851,0.0,0.2,0.13333333333333333,71.84,14.696031210273512,39,100,18.0,450,2.2912878474779204,4370.8,109270,986.0,24650,0.04,0.28,2,7,25,30,352,0,419.2,1.2,349.3333333333333
